"EXERCISE","SHEET","GROUPID","TEAMID","ASSIGNMENT","PHYSICAL_FILENAME","DELETE_TIMESTAMP"
"GdP23","02","04","19","4","20231113020105-Zahlen.fsproj","20231113020128"
"GdP23","02","04","19","4","20231113020502-Zahlen.AssemblyInfo.fs","20231113020553"
"GdP23","02","04","19","4","20231113020502-Zahlen.AssemblyInfoInputs.cache","20231113020555"
"GdP23","02","04","19","4","20231113020502-Zahlen.fsproj.FileListAbsolute.txt","20231113020551"
"GdP23","02","04","19","4","20231113020502-Zahlen.fsproj.AssemblyReference.cache","20231113020557"
"GdP23","02","04","19","4","20231113020630-Zahlen.fs","20231113020729"
"GdP23","02","04","19","4","20231113020630-Mini.fs","20231113020650"
"GdP23","02","04","19","4","20231113020630-Zahlen.fsproj","20231113020728"
"GdP23","02","04","19","4","20231113020630-Zahlen.AssemblyInfo.fs","20231113020731"
"GdP23","02","04","19","4","20231113020630-Zahlen.AssemblyInfoInputs.cache","20231113020730"
